date,State,cases,deaths,population,new_cases,new_deaths,cases_per_100k,deaths_per_100k,new_cases_per_100k,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,overall_pct_change,AREA_SQMI,White,IncomePerCap,Poverty,ChildPoverty,Service,Production,dem_gop_diff_16,FBFilterBubble
2020-04-28,FL,32840,1171,21477737,710.8571428571429,43.42857142857143,152.90251482267428,5.45215727336637,3.309739489114439,-38.0,-17.0,-39.0,-50.0,-45.0,13.0,-29.333333333333332,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-29,FL,33185,1218,21477737,658.4285714285714,41.57142857142857,154.5088293054338,5.670988521742305,3.0656328989807977,-38.0,-18.0,-36.0,-51.0,-45.0,18.0,-28.333333333333332,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-30,FL,33683,1267,21477737,576.5714285714286,40.0,156.8275093414171,5.899131738134236,2.684507350897483,-40.0,-19.0,-47.0,-53.0,-46.0,19.0,-31.0,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-01,FL,34717,1314,21477737,597.7142857142857,38.285714285714285,161.64179680568768,6.117962986510171,2.782948155638025,-36.0,-13.0,-27.0,-51.0,-43.0,18.0,-25.333333333333332,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-02,FL,35451,1364,21477737,659.4285714285714,44.142857142857146,165.05928906755867,6.350762186910101,3.0702888829887964,-40.0,-14.0,-31.0,-53.0,-32.0,11.0,-26.5,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-03,FL,36066,1379,21477737,648.4285714285714,43.57142857142857,167.9227192324778,6.420601947030081,3.0190730589008115,-40.0,-14.0,-30.0,-58.0,-35.0,10.0,-27.833333333333332,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-04,FL,36880,1399,21477737,677.8571428571429,44.42857142857143,171.71269021498867,6.513721627190053,3.156092016850485,-32.0,-15.0,-30.0,-50.0,-41.0,15.0,-25.5,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-05,FL,37412,1468,21477737,653.1428571428571,42.42857142857143,174.1896737072439,6.834984523741957,3.041022697795662,-31.0,-10.0,-29.0,-48.0,-41.0,16.0,-23.833333333333332,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-06,FL,37970,1535,21477737,683.5714285714286,45.285714285714285,176.78771278370715,7.146935452277863,3.182697639753334,-33.0,-14.0,-26.0,-49.0,-41.0,16.0,-24.5,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-07,FL,38795,1596,21477737,730.2857142857143,47.0,180.628899590306,7.430950476765778,3.4001986069841266,-33.0,-12.0,-23.0,-48.0,-41.0,16.0,-23.5,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
